imdbID	title	year	rating	genre	value	revenue	original_language	popularity	vote_average	budget
tt1966604 	The Imposter 	2012	R 	"Documentary, Biography "	$0.89M 	0	en 	9.444656	7.4	0
tt2097307 	Hit and Run 	2012	R 	"Action, Comedy, Romance "	$13.75M 	14400000	en 	6.853506	5.5	2000000
tt1663143 	Fun Size 	2012	PG-13 	"Adventure, Comedy "	$9.40M 	11417362	en 	5.97339	5.5	14000000
tt2375605 	The Act of Killing 	2012	Not Rated 	"Documentary, Biography, Crime "	$0.49M 	444575	id 	5.468389	7.5	1000000
tt1945062 	About Cherry 	2012	R 	Drama 	$0.00M 	3003	en 	4.908829	4.4	2500000
tt1872818 	Liberal Arts 	2012	PG-13 	"Comedy, Drama, Romance "	$0.32M 	327345	en 	7.497888	6.1	0
tt1648179 	Here Comes the Boom 	2012	PG 	"Action, Comedy, Sport "	$45.29M 	73100172	en 	10.242137	6	0
tt1381404 	The Company You Keep 	2012	R 	"Drama, Thriller "	$5.13M 	19633027	en 	5.216256	5.9	0
tt1748179 	Red Lights 	2012	R 	"Drama, Horror, Mystery "	$0.05M 	13551174	en 	11.906515	6	14000000
tt1862079 	Safety Not Guaranteed 	2012	R 	"Comedy, Drama, Romance "	$4.01M 	4007792	en 	6.155185	6.8	750000
tt1613750 	Kon-Tiki 	2012	PG-13 	"Adventure, History "	$1.52M 	0	en 	5.014559	7	16600000
tt1629757 	Chasing Mavericks 	2012	PG 	"Biography, Drama, Sport "	$6.00M 	0	en 	7.085264	7	0
tt1764183 	Arbitrage 	2012	R 	"Drama, Thriller "	$7.92M 	35485056	en 	6.381484	6.1	12000000
tt0975645 	Hitchcock 	2012	PG-13 	"Biography, Drama "	$6.01M 	23570541	en 	8.869845	6.3	0
tt2125435 	Beasts of the Southern Wild 	2012	PG-13 	"Adventure, Drama, Fantasy "	$12.80M 	21107746	en 	6.571863	6.8	1800000
tt1783732 	John Dies at the End 	2012	R 	"Comedy, Horror, Sci-Fi "	$0.14M 	0	en 	6.651568	6.3	0
tt1433822 	The Apparition 	2012	PG-13 	"Horror, Thriller "	$4.93M 	9627492	en 	4.467185	4.5	17000000
tt1656186 	Stolen 	2012	R 	"Action, Crime, Drama "	$0.30M 	2106557	en 	7.225021	5.1	35000000
tt1667310 	Deadfall 	2012	R 	"Crime, Drama, Thriller "	$0.07M 	66351	en 	6.319224	5.6	12000000
tt2024519 	The Broken Circle Breakdown 	2012	Not Rated 	"Drama, Music, Romance "	$0.18M 	5475058	nl 	10.818593	7.7	0
tt1836808 	Great Expectations 	2012	PG-13 	"Drama, Romance "	$0.26M 	258656	en 	7.459871	6.3	0
tt1932718 	Thanks for Sharing 	2012	R 	"Comedy, Drama, Romance "	$1.06M 	1065881	en 	10.996141	5.7	0
tt0485985 	Red Tails 	2012	PG-13 	"Action, Adventure, Drama "	$49.88M 	50365377	en 	5.682325	6	58000000
tt1462769 	The Odd Life of Timothy Green 	2012	PG 	"Comedy, Drama, Family "	$51.85M 	51854875	en 	4.694571	6.6	0
tt1047540 	Parental Guidance 	2012	PG 	"Comedy, Family "	$77.27M 	119772232	en 	9.814023	5.8	25000000
tt1598828 	One for the Money 	2012	PG-13 	"Action, Comedy, Crime "	$26.41M 	36893721	en 	6.520127	5.3	40000000
tt2023453 	Diary of a Wimpy Kid: Dog Days 	2012	PG 	"Comedy, Family "	$49.01M 	77112176	en 	6.994641	6	22000000
tt2125608 	Searching for Sugar Man 	2012	PG-13 	"Documentary, Biography, Music "	$3.97M 	0	en 	6.704958	7.9	0
tt1866249 	The Sessions 	2012	R 	"Biography, Comedy, Drama "	$6.00M 	9138338	en 	6.08492	6.6	1000000
tt2109184 	Paranormal Activity 4 	2012	R 	Horror 	$53.92M 	142817992	en 	7.80981	5.2	5000000
tt1712170 	Alex Cross 	2012	PG-13 	"Action, Crime, Mystery "	$25.89M 	30353232	en 	6.174823	5.1	45000000
tt1545106 	Vamps 	2012	PG-13 	"Comedy, Horror, Romance "	$0.00M 	0	en 	5.618136	4.9	16000000
tt2091473 	Promised Land 	2012	R 	Drama 	$7.60M 	8138788	en 	6.786345	6	15000000
tt1547234 	Premium Rush 	2012	PG-13 	"Action, Crime, Thriller "	$20.28M 	31083599	en 	6.69284	6.2	35000000
tt1540128 	Playing for Keeps 	2012	PG-13 	"Comedy, Romance, Sport "	$13.10M 	0	en 	13.239918	5.4	35000000
tt1659343 	Universal Soldier: Day of Reckoning 	2012	R 	"Action, Horror, Mystery "	$0.01M 	1402307	en 	9.859875	5.1	11500000
tt1480656 	Cosmopolis 	2012	R 	Drama 	$0.74M 	6063556	en 	6.009377	5.1	20500000
tt1430626 	The Pirates! Band of Misfits 	2012	PG 	"Animation, Adventure, Comedy "	$31.05M 	118338361	en 	9.335374	6.4	60000000
tt1839654 	The Magic of Belle Isle 	2012	PG 	"Comedy, Drama "	$0.10M 	102388	en 	6.298219	7.1	0
tt1694020 	The Guilt Trip 	2012	PG-13 	"Comedy, Drama "	$37.13M 	41863726	en 	6.038997	5.4	40000000
tt1698648 	Girl Most Likely 	2012	PG-13 	Comedy 	$1.38M 	0	en 	4.700605	5.7	0
tt1396226 	Twice Born 	2012	R 	"Drama, Romance, War "	$0.01M 	18295	it 	5.257373	6.9	13000000
tt1560985 	The Devil Inside 	2012	R 	Horror 	$53.26M 	101758490	en 	6.738356	4.6	1000000
tt2063781 	Smashed 	2012	R 	Drama 	$0.38M 	376597	en 	6.779935	6.3	500000
tt1821480 	Kahaani 	2012	Not Rated 	"Mystery, Thriller "	$1.04M 	16000000	hi 	2.67778	7.3	1200000
tt2082197 	Barfi! 	2012	Not Rated 	"Adventure, Comedy, Drama "	$2.80M 	2804874	hi 	5.694121	7.2	4437508
tt1587309 	If I Were You 	2012	R 	"Comedy, Drama "	$0.01M 	0	en 	1.585929	7.5	0
tt1535438 	Hope Springs 	2012	PG-13 	"Comedy, Drama, Romance "	$63.54M 	114281051	en 	5.796367	5.8	30000000
tt1990314 	Robot & Frank 	2012	PG-13 	"Comedy, Crime, Drama "	$3.33M 	3325038	en 	7.203239	6.8	2500000
tt1430615 	Big Miracle 	2012	PG 	"Biography, Drama, Romance "	$20.11M 	24719215	en 	6.280245	6.6	40000000
tt1964624 	Dans la maison 	2012	R 	"Comedy, Drama, Mystery "	$0.35M 	11879046	fr 	9.823715	7.3	0
tt1405365 	Celeste & Jesse Forever 	2012	R 	"Comedy, Drama, Romance "	$3.09M 	3094813	en 	5.520431	6.4	0
tt1852770 	Dracula 3D 	2012	Not Rated 	"Horror, Romance, Thriller "	$0.01M 	0	en 	3.69061	3.4	0
tt1932767 	What Maisie Knew 	2012	R 	Drama 	$1.07M 	1066471	en 	6.91186	7.4	6000000
tt1787988 	Talaash 	2012	Not Rated 	"Crime, Drama, Mystery "	$2.71M 	0	hi 	2.703037	6.7	8510000
tt0878814 	Jewtopia 	2012	Not Rated 	"Comedy, Romance "	$0.05M 	0	en 	1.913421	4.3	0
tt1710396 	Joyful Noise 	2012	PG-13 	"Comedy, Drama, Music "	$30.92M 	0	en 	3.138122	6.7	0
tt2172071 	Student of the Year 	2012	Not Rated 	"Comedy, Drama, Romance "	$0.33M 	0	en 	3.662735	6.2	0
tt1702425 	Casa de mi Padre 	2012	R 	"Comedy, Western "	$5.90M 	0	en 	4.651021	5.5	0
tt1440732 	Bel Ami 	2012	R 	"Drama, History, Romance "	$0.12M 	8303261	en 	6.371765	5	9000000
tt2032557 	The Reluctant Fundamentalist 	2012	R 	"Drama, Thriller "	$0.52M 	519535	en 	4.600085	6.6	0
tt1996264 	"For a Good Time, Call... "	2012	R 	Comedy 	$1.24M 	1243961	en 	7.760658	5.8	850000
tt1935902 	The Brass Teapot 	2012	R 	"Comedy, Fantasy, Thriller "	$0.01M 	0	en 	7.4728	5.8	0
tt2023690 	Sightseers 	2012	Not Rated 	"Adventure, Comedy, Crime "	$0.04M 	61782	en 	9.270366	6.2	0
tt0455323 	Being Flynn 	2012	R 	Drama 	$0.53M 	540152	en 	6.219931	5.8	0
tt2150332 	Renoir 	2012	R 	"Biography, Drama, History "	$2.29M 	2293798	fr 	5.647007	6.5	0
tt2115295 	Ginger & Rosa 	2012	PG-13 	Drama 	$1.01M 	1005700	en 	6.189146	6.4	0
tt1441951 	Quartet 	2012	PG-13 	"Comedy, Drama "	$18.39M 	59520298	en 	7.689026	6.4	11000000
tt0857190 	The Sweeney 	2012	R 	"Action, Crime, Drama "	$0.03M 	6294161	en 	6.349806	5.7	3730500
tt2258858 	Wadjda 	2012	PG 	"Comedy, Drama "	$1.35M 	1347747	ar 	7.771395	7.2	0
tt1996310 	Lore 	2012	Not Rated 	"Drama, Romance, Thriller "	$0.97M 	0	de 	4.924338	7.1	0
tt1937449 	At Any Price 	2012	R 	"Drama, Thriller "	$0.38M 	0	en 	5.724066	5.3	0
tt1780762 	Aftershock 	2012	R 	"Action, Adventure, Horror "	$0.04M 	58510	es 	9.183872	5.3	2000000
tt1854236 	Den skaldede frisør 	2012	R 	"Comedy, Drama, Romance "	$1.63M 	10016934	da 	4.98683	6.2	5500000
tt1817676 	Girl in Progress 	2012	PG-13 	"Comedy, Drama "	$2.59M 	0	en 	2.416042	5.3	5000000
tt2125666 	The Queen of Versailles 	2012	PG 	Documentary 	$2.40M 	714544	en 	3.869618	7.1	0
tt1770734 	Shadow Dancer 	2012	R 	"Drama, Thriller "	$0.10M 	419953	en 	4.580894	5.8	6300000
tt1649444 	[REC] 3: Genesis 	2012	R 	"Horror, Romance "	$0.01M 	10158000	es 	5.361338	4.9	0
tt1753813 	"Farewell, My Queen "	2012	R 	"Drama, History, Romance "	$0.07M 	0	fr 	6.021523	5.8	0
tt1230215 	Not Fade Away 	2012	R 	Drama 	$0.61M 	610792	en 	3.163469	5.4	20000000
tt2215285 	Madea's Witness Protection 	2012	PG-13 	"Comedy, Crime, Drama "	$65.65M 	0	en 	8.849769	5.8	0
tt2103264 	Emperor 	2012	PG-13 	"Drama, History "	$3.35M 	3346265	en 	7.016994	6.1	0
tt1907731 	Nobody Walks 	2012	R 	Drama 	$0.02M 	24995	en 	2.415635	5	0
tt1791614 	Struck by Lightning 	2012	Not Rated 	"Comedy, Drama "	$0.02M 	22930	en 	8.931976	6.2	0
tt2216240 	Kapringen 	2012	R 	"Drama, Thriller "	$0.41M 	0	da 	6.488273	6.7	0
tt1673697 	The Sapphires 	2012	PG-13 	"Biography, Comedy, Drama "	$2.45M 	0	en 	5.932588	6.6	0
tt2077851 	Sleepwalk with Me 	2012	PG-13 	Comedy 	$2.26M 	0	en 	3.216941	6.6	0
tt0835418 	The Babymakers 	2012	R 	Comedy 	$0.01M 	0	en 	4.980562	5	0
tt1620933 	Paan Singh Tomar 	2012	Not Rated 	"Action, Biography, Crime "	$0.04M 	0	hi 	1.627285	7.3	0
tt2366450 	Stories We Tell 	2012	PG-13 	Documentary 	$1.60M 	0	en 	10.598594	7.1	0
tt1870529 	Won't Back Down 	2012	PG 	Drama 	$5.31M 	5310554	en 	2.649034	5.8	0
tt2168910 	Cocktail 	2012	Not Rated 	"Comedy, Drama, Romance "	$1.03M 	18800000	hi 	7.278488	6.2	6400000
tt2176013 	Jab Tak Hai Jaan 	2012	Not Rated 	"Drama, Family, Romance "	$3.05M 	0	hi 	6.061422	7.2	0
